RK,ID,NAME,TEAM,BYE,AGE,POS,POS RK,PTS,ADP
1,18877, Christian McCaffrey,CAR,13,25,RB,RB1,271.71,1.3
2,18872, Dalvin Cook,MIN,7,25,RB,RB2,262.77,2.4
3,17959, Derrick Henry,TEN,13,27,RB,RB3,269.3,2.8
4,19766, Saquon Barkley,NYG,10,24,RB,RB4,230.61,4.3
5,18878, Alvin Kamara,NO,6,25,RB,RB5,216.46,4.9
6,19798, Nick Chubb,CLE,13,25,RB,RB6,231.2,6.6
7,21682, Jonathan Taylor,IND,14,22,RB,RB7,233.39,6.9
8,17923, Ezekiel Elliott,DAL,7,25,RB,RB8,219.65,7.5
9,19045, Aaron Jones,GB,13,26,RB,RB9,214.8,9.3
10,16470, Davante Adams,GB,13,28,WR,WR1,215.45,10.2
11,15048, Travis Kelce,KC,12,31,TE,TE1,194.92,10.5
12,18082, Tyreek Hill,KC,12,27,WR,WR2,214.19,11.4
13,21861, Antonio Gibson,WAS,9,22,RB,RB10,192.07,13.8
14,21688, Cam Akers,LAR,11,21,RB,RB11,211.88,14.3
14,16906, Stefon Diggs,BUF,7,27,WR,WR3,172.4,14.3
16,18890, Patrick Mahomes,KC,12,25,QB,QB1,396.81,15.7
17,20824, Josh Jacobs,LV,8,23,RB,RB12,187.69,16
18,19562, Austin Ekeler,LAC,7,26,RB,RB13,184.81,16.7
19,20875, DK Metcalf,SEA,9,23,WR,WR4,190.18,17.2
20,14986, DeAndre Hopkins,ARI,12,29,WR,WR5,176.3,17.3
21,21970, James Robinson,JAX,7,22,RB,RB14,136.5,19.8
22,18858, Joe Mixon,CIN,10,24,RB,RB15,195.68,21.1
23,21042, A.J. Brown,TEN,13,23,WR,WR6,190.62,22.1
23,19802, Calvin Ridley,ATL,6,26,WR,WR7,180.47,22.1
25,19063, George Kittle,SF,6,27,TE,TE2,152.28,22.2
26,21674, J.K. Dobbins,BAL,8,22,RB,RB16,194,22.6
27,21685, Justin Jefferson,MIN,7,22,WR,WR8,179.59,25.7
28,20933, Miles Sanders,PHI,14,24,RB,RB17,184.13,26.8
29,16964, Darren Waller,LV,8,28,TE,TE3,152.76,27
30,17960, Michael Thomas,NO,6,28,WR,WR9,166.76,29.4
31,15076, Keenan Allen,LAC,7,29,WR,WR10,150.24,30.5
32,19119, Chris Carson,SEA,9,26,RB,RB18,179.89,31.7
33,20882, David Montgomery,CHI,10,24,RB,RB19,183.14,32.2
34,21769, Clyde Edwards-Helaire,KC,12,22,RB,RB20,181.18,32.9
35,21684, D'Andre Swift,DET,9,22,RB,RB21,183.03,33.6
36,19801, Josh Allen,BUF,7,25,QB,QB2,384.98,34.2
37,16597, Mike Evans,TB,9,27,WR,WR11,162.84,35.3
38,20889, Kyler Murray,ARI,12,23,QB,QB3,358.09,36.5
39,20873, Terry McLaurin,WAS,9,25,WR,WR12,161.92,37.5
40,15534, Adam Thielen,MIN,7,30,WR,WR13,143.31,39
41,13291, Julio Jones,TEN,13,32,WR,WR14,150.33,39.5
42,18944, Kareem Hunt,CLE,13,25,RB,RB22,147.94,39.8
43,16263, Allen Robinson II,CHI,10,27,WR,WR15,163.74,42.4
44,18880, Chris Godwin,TB,9,25,WR,WR16,151.09,44
45,17217, Raheem Mostert,SF,6,29,RB,RB23,145.07,44.2
46,18055, Dak Prescott,DAL,7,27,QB,QB4,355.15,45.2
47,16765, Amari Cooper,DAL,7,26,WR,WR17,144.67,48.6
48,16776, Melvin Gordon III,DEN,11,28,RB,RB24,140,48.8
49,14536, Russell Wilson,SEA,9,32,QB,QB5,340.21,49.6
50,21679, CeeDee Lamb,DAL,7,22,WR,WR18,144.76,49.8
51,19781, Lamar Jackson,BAL,8,24,QB,QB6,351.83,50.2
52,18977, Kenny Golladay,NYG,10,27,WR,WR19,144.65,50.3
53,19803, Mark Andrews,BAL,8,25,TE,TE4,131.72,51.4
54,20768, Myles Gaskin,MIA,14,24,RB,RB25,163.04,51.5
55,14871, Robert Woods,LAR,11,29,WR,WR20,147.13,52.3
56,21681, Justin Herbert,LAC,7,23,QB,QB7,337.91,53.7
57,2593, Aaron Rodgers,GB,13,37,QB,QB8,329.65,55.2
58,16830, Tyler Lockett,SEA,9,28,WR,WR21,134.23,57.2
59,19861, Ronald Jones II,TB,9,23,RB,RB26,132.68,58.1
60,21077, Diontae Johnson,PIT,7,24,WR,WR22,130.09,58.2
61,16389, Odell Beckham Jr.,CLE,13,28,WR,WR23,129.55,60.4
62,19919, Chase Edmonds,ARI,12,25,RB,RB27,140.69,60.8
63,20805, T.J. Hockenson,DET,9,23,TE,TE5,113.91,61.3
64,18882, Cooper Kupp,LAR,11,27,WR,WR24,137.26,61.5
65,21752, Chase Claypool,PIT,7,22,WR,WR25,131.37,64
66,19844, DJ Moore,CAR,13,24,WR,WR26,149.26,64.8
67,21747, Brandon Aiyuk,SF,6,23,WR,WR27,130.9,65.3
68,18803, Leonard Fournette,TB,9,26,RB,RB28,134.29,65.9
69,17986, Tyler Boyd,CIN,10,26,WR,WR28,114.63,68.8
70,21690, Tee Higgins,CIN,10,22,WR,WR29,132.47,69.2
71,16847, David Johnson,HOU,10,29,RB,RB29,134.8,70.8
72,18983, James Conner,ARI,12,26,RB,RB30,133.33,72.9
73,16887, Mike Davis,ATL,6,28,RB,RB31,153.8,73.3
74,18883, JuJu Smith-Schuster,PIT,7,24,WR,WR30,126.08,74.9
74,17975, Hunter Henry,NE,14,26,TE,TE6,89.3,74.9
76,19816, DJ Chark Jr.,JAX,7,24,WR,WR31,141.44,75.1
77,21693, Joe Burrow O,CIN,10,24,QB,QB9,293.6,76.4
78,18857, Deshaun Watson,HOU,10,25,QB,QB10,201.08,76.8
79,21831, Jalen Hurts,PHI,14,22,QB,QB11,322.45,78.5
80,20360, Jeff Wilson Jr. O,SF,6,25,RB,RB32,51.95,79.8
81,10974, Rob Gronkowski,TB,9,32,TE,TE7,95.59,80.3
82,21768, Najee Harris,PIT,7,23,RB,RB33,196.32,80.6
83,20790, Damien Harris,NE,14,24,RB,RB34,128.74,80.7
84,16020, Jarvis Landry,CLE,13,28,WR,WR32,114.08,81.1
85,4314, Tom Brady,TB,9,43,QB,QB12,323.77,81.7
86,18003, Kenyan Drake,LV,8,27,RB,RB35,111.55,82.5
87,21802, A.J. Dillon,GB,13,23,RB,RB36,109.58,83.5
88,20941, Devin Singletary,BUF,7,23,RB,RB37,98.46,83.7
89,16568, Brandin Cooks,HOU,10,27,WR,WR33,132.64,84.1
90,19800, Courtland Sutton,DEN,11,25,WR,WR34,131.84,85.8
91,13799, Ryan Tannehill,TEN,13,32,QB,QB13,318.97,86.3
92,18187, Robby Anderson,CAR,13,28,WR,WR35,121.55,88.7
92,18912, Evan Engram,NYG,10,26,TE,TE8,75.53,88.7
94,16775, DeVante Parker,MIA,14,28,WR,WR36,114.21,90.6
95,17916, William Fuller V SUS,MIA,14,27,WR,WR37,124.34,90.8
96,21045, Marquise Brown,BAL,8,24,WR,WR38,100.98,91.2
97,9038, Matthew Stafford,LAR,11,33,QB,QB14,308.86,91.7
98,16656, Logan Thomas,WAS,9,29,TE,TE9,92.39,95.4
99,20932, Deebo Samuel,SF,6,25,WR,WR39,126.24,97.6
100,21784, Zack Moss,BUF,7,23,RB,RB38,110.54,97.7
101,15071, Latavius Murray,NO,6,31,RB,RB39,96.72,98.6
102,28, Pittsburgh Steelers,PIT,7,,DST,DST1,115,99.1
103,20239, Gus Edwards,BAL,8,26,RB,RB40,109.22,99.9
104,36, Baltimore Ravens,BAL,8,,DST,DST2,108,100.1
105,14856, Zach Ertz,PHI,14,30,TE,TE10,70.24,100.3
106,14005, T.Y. Hilton,IND,14,31,WR,WR40,110.37,102.1
107,22508, Kyle Pitts,ATL,6,20,TE,TE11,118.99,103.5
108,21744, Michael Pittman Jr.,IND,14,23,WR,WR41,92.62,104.1
109,14141, Cole Beasley,BUF,7,32,WR,WR42,107.15,105.9
110,18464, J.D. McKissic,WAS,9,27,RB,RB41,80.95,106.5
111,20912, Tony Pollard,DAL,7,24,RB,RB42,89.6,106.6
112,732, Matt Ryan,ATL,6,36,QB,QB15,281.9,108.2
113,18879, Corey Davis,NYJ,6,26,WR,WR43,120.51,108.4
114,18928, Curtis Samuel,WAS,9,24,WR,WR44,128.46,109.5
115,18990, Jonnu Smith,NE,14,25,TE,TE12,84.12,109.6
116,32, Los Angeles Rams,LAR,11,,DST,DST3,102,110.4
117,19912, Nyheim Hines,IND,14,24,RB,RB43,89.94,111.3
118,20868, Alexander Mattison,MIN,7,22,RB,RB44,83.34,112.8
119,11056, Antonio Brown,TB,9,32,WR,WR45,107.77,114.3
120,19853, Mike Gesicki,MIA,14,25,TE,TE13,100.74,114.8
121,18914, Mike Williams,LAC,7,26,WR,WR46,127.6,115.7
122,97, Washington Football Team,WAS,9,,DST,DST4,89,117.5
123,20128, Phillip Lindsay,HOU,10,26,RB,RB45,80.72,118
124,14, Indianapolis Colts,IND,14,,DST,DST5,103,118.3
125,21697, Laviska Shenault Jr.,JAX,7,22,WR,WR47,113.9,118.7
126,19863, Dallas Goedert,PHI,14,26,TE,TE14,109.04,120.2
127,13337, Mark Ingram II,HOU,10,31,RB,RB46,45.19,120.9
128,16031, Damien Williams,CHI,10,29,RB,RB47,56.62,121.6
129,13870, Marvin Jones Jr.,JAX,7,31,WR,WR48,121.62,122.5
130,21696, Travis Etienne,JAX,7,22,RB,RB48,140.13,122.8
130,21854, Anthony McFarland Jr.,PIT,7,23,RB,RB49,30.62,122.8
132,16640, John Brown,LV,8,31,WR,WR49,95.33,124.3
133,13320, Cam Newton,NE,14,32,QB,QB16,200.23,124.7
134,21692, Jerry Jeudy,DEN,11,22,WR,WR50,127.43,125.7
135,3807, Ben Roethlisberger,PIT,7,39,QB,QB17,254.66,126.3
136,19799, Rashaad Penny,SEA,9,25,RB,RB50,71.52,126.6
137,18995, Jamaal Williams,DET,9,26,RB,RB51,101.25,126.8
138,95, Tampa Bay Buccaneers,TB,9,,DST,DST6,95,128.1
139,19867, Michael Gallup,DAL,7,25,WR,WR51,128.07,128.6
140,17920, Carson Wentz,IND,14,28,QB,QB18,266.81,128.7
141,37, Buffalo Bills,BUF,7,,DST,DST7,98,128.8
142,22558, Javonte Williams,DEN,11,21,RB,RB52,127.81,130.7
143,22564, Ja'Marr Chase,CIN,10,21,WR,WR52,134.52,132.1
144,19828, Sony Michel,NE,14,26,RB,RB53,84.72,132.6
145,19073, Harrison Butker,KC,12,25,K,K1,138.9,133
146,22493, Trey Lance,SF,6,21,QB,QB19,185.57,133.6
147,22553, Michael Carter,NYJ,6,22,RB,RB54,107.15,134.3
148,14688, Justin Tucker,BAL,8,31,K,K2,139.3,134.5
149,93, San Francisco 49ers,SF,6,,DST,DST8,105,134.6
150,21694, Henry Ruggs III,LV,8,22,WR,WR53,94.88,135.5
151,16781, Nelson Agholor,NE,14,28,WR,WR54,116.08,135.9
152,90, Seattle Seahawks,SEA,9,,DST,DST9,93,138.3
153,21687, DeVonta Smith,PHI,14,22,WR,WR55,121.87,138.7
154,17970, Devontae Booker,NYG,10,29,RB,RB55,52.03,139.2
155,14252, Kirk Cousins,MIN,7,32,QB,QB20,282.03,141.3
156,16762, Jameis Winston,NO,6,27,QB,QB21,238.39,141.5
157,20788, Mecole Hardman,KC,12,23,WR,WR56,105.24,142.1
158,19491, Robert Tonyan,GB,13,27,TE,TE15,98.59,142.6
159,16056, James White,NE,14,29,RB,RB56,80.49,143
160,17961, Sterling Shepard,NYG,10,28,WR,WR57,86.26,143.5
160,20850, Dawson Knox,BUF,7,24,TE,TE16,67.63,143.5
162,18032, Tyler Higbee,LAR,11,28,TE,TE17,96.92,144
163,22490, Trevor Lawrence,JAX,7,21,QB,QB22,291.42,144.4
164,21801, Trey Sermon,SF,6,22,RB,RB57,104.76,145.5
165,20949, Irv Smith Jr.,MIN,7,22,TE,TE18,94.18,146.3
166,18935, Gerald Everett,SEA,9,26,TE,TE19,65.1,146.5
167,21691, Chuba Hubbard,CAR,13,21,RB,RB58,61.95,147.6
168,64, Miami Dolphins,MIA,14,,DST,DST10,83,148.5
169,16866, Jamison Crowder,NYJ,6,27,WR,WR58,100.31,148.6
170,20753, Noah Fant,DEN,11,23,TE,TE20,99.81,148.8
171,19565, Younghoe Koo,ATL,6,26,K,K3,132.3,149.2
172,22112, Rodrigo Blankenship,IND,14,24,K,K4,130.8,150.8
173,16311, Derek Carr,LV,8,30,QB,QB23,275.33,151
174,16451, Eric Ebron,PIT,7,28,TE,TE21,75.01,151.4
175,17963, Austin Hooper,CLE,13,26,TE,TE22,83.28,151.7
176,19790, Baker Mayfield,CLE,13,26,QB,QB24,275.66,152.1
177,22598, Jaylen Waddle,MIA,14,22,WR,WR59,106.86,152.4
178,20039, Boston Scott,PHI,14,26,RB,RB59,51.11,152.7
179,16834, Tevin Coleman,NYJ,6,28,RB,RB60,83.76,153.9
179,20943, Darius Slayton,NYG,10,24,WR,WR60,74.15,153.9
181,21961, Darnell Mooney,CHI,10,23,WR,WR61,90.4,154
182,21804, DeeJay Dallas,SEA,9,22,RB,RB61,42.19,154.7
183,21677, Tua Tagovailoa,MIA,14,23,QB,QB25,269.69,155
184,22492, Justin Fields,CHI,10,22,QB,QB26,220.48,155.9
185,8534, Jared Cook,LAC,7,34,TE,TE23,89.61,156.3
186,14916, Giovani Bernard,TB,9,29,RB,RB62,63.27,158.1
187,21, New England Patriots,NE,14,,DST,DST11,104,159.1
188,55, Kansas City Chiefs,KC,12,,DST,DST12,106,159.4
189,11063, Emmanuel Sanders,BUF,7,34,WR,WR62,97.45,159.6
190,14697, Greg Zuerlein,DAL,7,33,K,K5,137.7,160.3
191,21735, Gabriel Davis,BUF,7,22,WR,WR63,97.92,160.5
191,20798, Darrell Henderson Jr.,LAR,11,23,RB,RB63,92.79,160.5
193,21786, Adam Trautman,NO,6,24,TE,TE24,68.79,160.6
194,18478, Wil Lutz,NO,6,26,K,K6,129,161.3
194,19003, Tarik Cohen,CHI,10,25,RB,RB64,76.48,161.3
196,21772, Cole Kmet,CHI,10,22,TE,TE25,71.01,161.4
197,20841, Daniel Jones,NYG,10,24,QB,QB27,270.84,161.5
197,17922, Jared Goff,DET,9,26,QB,QB28,245.67,161.5
199,18998, Marlon Mack,IND,14,25,RB,RB65,50.03,161.9
200,8, Cleveland Browns,CLE,13,,DST,DST13,89,162.9
201,20006, Russell Gage,ATL,6,25,WR,WR64,91.45,163
202,20033, Jason Sanders,MIA,14,25,K,K7,133.6,163.3
203,12845, A.J. Green,ARI,12,32,WR,WR65,74.91,163.6
204,1, Arizona Cardinals,ARI,12,,DST,DST14,83,163.9
205,69, New Orleans Saints,NO,6,,DST,DST15,106,164.2
206,20064, Justin Jackson,LAC,7,25,RB,RB66,61.62,164.5
206,16003, Sammy Watkins,BAL,8,27,WR,WR66,58.4,164.5
208,8283, Ryan Fitzpatrick,WAS,9,38,QB,QB29,278.67,164.7
208,3943, DeSean Jackson,LAR,11,34,WR,WR67,81.74,164.7
210,16668, Carlos Hyde,JAX,7,30,RB,RB67,40.53,164.8
211,19815, Christian Kirk,ARI,12,24,WR,WR68,84.74,164.9
211,17053, Malcolm Brown,MIA,14,28,RB,RB68,63.32,164.9
213,18088, Alex Collins,SEA,9,26,RB,RB69,18.93,165
214,21741, Denzel Mims,NYJ,6,23,WR,WR69,90.62,165.1
215,19238, Taysom Hill,NO,6,30,QB,QB30,119.56,165.2
215,12, Green Bay Packers,GB,13,,DST,DST16,92,165.2
217,8750, Ryan Succop,TB,9,34,K,K8,135.2,167
218,38, Chicago Bears,CHI,10,,DST,DST17,92,167.4
219,19989, Daniel Carlson,LV,8,26,K,K9,128.5,167.5
220,49, Denver Broncos,DEN,11,,DST,DST18,93,167.9
221,84, Los Angeles Chargers,LAC,7,,DST,DST19,90,168.8
222,19207, Tim Patrick,DEN,11,27,WR,WR70,64.55,170.5
223,22108, Tyler Bass,BUF,7,24,K,K10,136.6,170.7
224,22562, Kenny Gainwell,PHI,14,22,RB,RB70,60.08,171.4
225,20500, Darrel Williams,KC,12,26,RB,RB71,67.88,171.6
226,549, Matt Prater,ARI,12,36,K,K11,125.2,172.6
227,1410, Robbie Gould,SF,6,38,K,K12,130.5,172.8
228,1694, Mason Crosby,GB,13,36,K,K13,123.7,173.3
229,17215, Jason Myers,SEA,9,30,K,K14,129.1,174.9
229,17139, Josh Lambo,JAX,7,30,K,K15,115.1,174.9
231,16236, Cody Parkey,CLE,13,29,K,K16,119.5,178.8
232,26, Philadelphia Eagles,PHI,14,,DST,DST20,96,179
233,19897, Tre'Quan Smith,NO,6,25,WR,WR71,102.17,180
233,67, Minnesota Vikings,MIN,7,,DST,DST21,92,180
235,22623, Rashod Bateman,BAL,8,21,WR,WR72,101.62,181
235,82, New York Jets,NYJ,6,,DST,DST22,89,181
237,16787, Breshad Perriman,DET,9,27,WR,WR73,93.8,182
237,52, Jacksonville Jaguars,JAX,7,,DST,DST23,88,182
239,21686, Jalen Reagor,PHI,14,22,WR,WR74,89.49,183
239,34, Tennessee Titans,TEN,13,,DST,DST24,87,183
241,17048, Tyrell Williams,DET,9,29,WR,WR75,86.85,184
241,48, Dallas Cowboys,DAL,7,,DST,DST25,86,184
243,22626, Rondale Moore,ARI,12,20,WR,WR76,85.63,185
243,5, Carolina Panthers,CAR,13,,DST,DST26,85,185
245,11, Detroit Lions,DET,9,,DST,DST27,84,186
245,22685, Terrace Marshall Jr.,CAR,13,20,WR,WR77,83.53,186
247,13, Houston Texans,HOU,10,,DST,DST28,83,187
247,20876, Jakobi Meyers,NE,14,24,WR,WR78,81.43,187
249,7, Cincinnati Bengals,CIN,10,,DST,DST29,82,188
249,20145, Allen Lazard,GB,13,25,WR,WR79,81.38,188
251,83, Las Vegas Raiders,LV,8,,DST,DST30,82,189
251,22587, Amon-Ra St. Brown,DET,9,21,WR,WR80,80.03,189
253,75, New York Giants,NYG,10,,DST,DST31,81,190
253,21005, Parris Campbell,IND,14,23,WR,WR81,79.53,190
255,2, Atlanta Falcons,ATL,6,,DST,DST32,79,191
255,21739, Van Jefferson,LAR,11,24,WR,WR82,78.09,191
257,22495, Zach Wilson,NYJ,6,21,QB,QB31,255.91,192
258,19812, Sam Darnold,CAR,13,24,QB,QB32,246.14,193
259,19976, Marquez Valdes-Scantling,GB,13,26,WR,WR83,72.35,194
260,22592, Elijah Moore,NYJ,6,21,WR,WR84,72.34,195
261,13227, Randall Cobb,HOU,10,30,WR,WR85,72.31,196
262,22614, Kadarius Toney,NYG,10,22,WR,WR86,72.11,197
263,18089, Rashard Higgins,CLE,13,26,WR,WR87,70.23,198
264,22569, D'Wayne Eskridge,SEA,9,24,WR,WR88,67.64,199
265,21448, Jalen Guyton,LAC,7,24,WR,WR89,66.27,200
266,22575, Amari Rodgers,GB,13,21,WR,WR90,66.09,201
267,20924, Hunter Renfrow,LV,8,25,WR,WR91,64.9,202
268,19172, Zach Pascal,IND,14,26,WR,WR92,64.49,203
269,19017, Josh Reynolds,TEN,13,26,WR,WR93,63.63,204
270,21729, Quintez Cephus,DET,9,23,WR,WR94,62,205
271,21776, Joshua Kelley,LAC,7,23,RB,RB72,65.68,206
272,19865, James Washington,PIT,7,25,WR,WR95,61.5,207
273,14917, Rex Burkhead,HOU,10,30,RB,RB73,64.4,208
274,19937, Keke Coutee,HOU,10,24,WR,WR96,59.93,209
275,20838, Tyron Johnson,LAC,7,25,WR,WR97,59.79,210
276,21759, K.J. Hamler,DEN,11,21,WR,WR98,59.42,211
277,18047, Demarcus Robinson,KC,12,26,WR,WR99,59,212
278,21142, Olamide Zaccheaus,ATL,6,23,WR,WR100,57.68,213
279,21756, Nico Collins,HOU,10,22,WR,WR101,57.2,214
280,19318, Kendrick Bourne,NE,14,25,WR,WR102,55.39,215
281,16837, Chris Conley,HOU,10,28,WR,WR103,54.97,216
282,21736, Bryan Edwards,LV,8,22,WR,WR104,53.52,217
283,21163, Deonte Harris,NO,6,23,WR,WR105,52.2,218
284,21750, Marquez Callaway,NO,6,23,WR,WR106,52.14,219
285,21754, Donovan Peoples-Jones,CLE,13,22,WR,WR107,51.54,220
286,20150, Byron Pringle,KC,12,27,WR,WR108,51.33,221
287,19864, Anthony Miller,CHI,10,26,WR,WR109,51.13,222
288,15150, Cordarrelle Patterson,ATL,6,30,RB,RB74,53.83,223
289,21845, Darrynton Evans,TEN,13,22,RB,RB75,53.24,224
290,22602, Tutu Atwell,LAR,11,21,WR,WR110,49.91,225
291,19514, Keelan Cole,NYJ,6,28,WR,WR111,49.81,226
292,21797, La'Mical Perine,NYJ,6,23,RB,RB76,52.87,227
293,21843, Salvon Ahmed,MIA,14,22,RB,RB77,52.27,228
294,20762, Travis Fulgham,PHI,14,25,WR,WR112,49.1,229
295,20529, Cam Sims,WAS,9,25,WR,WR113,48.98,230
296,22686, Dyami Brown,WAS,9,21,WR,WR114,48.04,231
297,16141, Willie Snead IV,LV,8,28,WR,WR115,47.51,232
298,20859, Drew Lock,DEN,11,24,QB,QB33,156.23,233
299,20988, Preston Williams,MIA,14,24,WR,WR116,46.48,234
300,21730, Collin Johnson,JAX,7,23,WR,WR117,46.28,235
